date,minute,MatchID,x,y,xG,result,team,Home_Away,player,player_assisted,Shot type
2023-08-19 13:30:00,1,23066,0.7230000305175781,0.57,0.015755144879221916,SavedShot,Bayer Leverkusen,h,Granit Xhaka,,LeftFoot
2023-08-19 13:30:00,7,23066,0.7619999694824219,0.445,0.022465713322162628,MissedShots,Bayer Leverkusen,h,Jonas Hofmann,,LeftFoot
2023-08-19 13:30:00,23,23066,0.9390000152587891,0.45099998474121095,0.5647493600845337,Goal,Bayer Leverkusen,h,Jeremie Frimpong,Victor Boniface,RightFoot
2023-08-19 13:30:00,33,23066,0.86,0.5940000152587891,0.08615665882825851,BlockedShot,Bayer Leverkusen,h,Álex Grimaldo,,RightFoot
2023-08-19 13:30:00,34,23066,0.925,0.4759999847412109,0.3397124409675598,Goal,Bayer Leverkusen,h,Jonathan Tah,Jonas Hofmann,Head
2023-08-19 13:30:00,36,23066,0.924000015258789,0.5220000076293946,0.06832202523946762,SavedShot,Bayer Leverkusen,h,Victor Boniface,Jonas Hofmann,Head
2023-08-19 13:30:00,47,23066,0.915,0.5540000152587891,0.34449008107185364,SavedShot,Bayer Leverkusen,h,Florian Wirtz,Jonas Hofmann,LeftFoot
2023-08-19 13:30:00,56,23066,0.735,0.4159999847412109,0.12251430004835129,MissedShots,Bayer Leverkusen,h,Victor Boniface,Jonas Hofmann,RightFoot
2023-08-19 13:30:00,63,23066,0.8540000152587891,0.4470000076293945,0.10295562446117401,Goal,Bayer Leverkusen,h,Florian Wirtz,Jeremie Frimpong,RightFoot
2023-08-19 13:30:00,86,23066,0.7859999847412109,0.610999984741211,0.045294709503650665,MissedShots,Bayer Leverkusen,h,Victor Boniface,Edmond Tapsoba,RightFoot
2023-08-19 13:30:00,95,23066,0.75,0.29399999618530276,0.020375972613692284,SavedShot,Bayer Leverkusen,h,Arthur,Exequiel Palacios,RightFoot
2023-08-19 13:30:00,7,23066,0.889000015258789,0.7319999694824219,0.03591606765985489,MissedShots,RasenBallsport Leipzig,a,Timo Werner,Dani Olmo,LeftFoot
2023-08-19 13:30:00,8,23066,0.81,0.649000015258789,0.03602239862084389,BlockedShot,RasenBallsport Leipzig,a,Loïs Openda,Timo Werner,RightFoot
2023-08-19 13:30:00,9,23066,0.7809999847412109,0.66,0.024940909817814827,SavedShot,RasenBallsport Leipzig,a,Benjamin Henrichs,Timo Werner,RightFoot
2023-08-19 13:30:00,20,23066,0.9209999847412109,0.545,0.04003513231873512,MissedShots,RasenBallsport Leipzig,a,Loïs Openda,David Raum,Head
2023-08-19 13:30:00,21,23066,0.7430000305175781,0.35200000762939454,0.014595665037631989,SavedShot,RasenBallsport Leipzig,a,Benjamin Henrichs,,RightFoot
2023-08-19 13:30:00,38,23066,0.9680000305175781,0.44599998474121094,0.13384822010993958,Goal,RasenBallsport Leipzig,a,Dani Olmo,David Raum,Head
2023-08-19 13:30:00,49,23066,0.89,0.34799999237060547,0.05034080147743225,BlockedShot,RasenBallsport Leipzig,a,Benjamin Henrichs,Mohamed Simakan,RightFoot
2023-08-19 13:30:00,70,23066,0.955,0.4859999847412109,0.52034592628479,Goal,RasenBallsport Leipzig,a,Loïs Openda,Mohamed Simakan,Head
2023-08-19 13:30:00,73,23066,0.9680000305175781,0.4179999923706055,0.4867003560066223,ShotOnPost,RasenBallsport Leipzig,a,Loïs Openda,,RightFoot
2023-08-19 13:30:00,73,23066,0.71,0.40400001525878904,0.013993853703141212,BlockedShot,RasenBallsport Leipzig,a,Xaver Schlager,,LeftFoot
2023-08-19 13:30:00,77,23066,0.905,0.475,0.04134572297334671,SavedShot,RasenBallsport Leipzig,a,Yussuf Poulsen,Kevin Kampl,Head
2023-08-19 13:30:00,85,23066,0.9490000152587891,0.5670000076293945,0.1766214668750763,SavedShot,RasenBallsport Leipzig,a,Yussuf Poulsen,David Raum,Head
2023-08-19 13:30:00,85,23066,0.89,0.6179999923706054,0.019832991063594818,MissedShots,RasenBallsport Leipzig,a,Benjamin Henrichs,Yussuf Poulsen,Head
2023-08-19 13:30:00,90,23066,0.785,0.23299999237060548,0.016205165535211563,BlockedShot,RasenBallsport Leipzig,a,Benjamin Henrichs,Kevin Kampl,RightFoot
2023-08-26 16:30:00,27,23080,0.9159999847412109,0.3509999847412109,0.0651588961482048,MissedShots,Borussia M.Gladbach,h,Marvin Friedrich,Franck Honorat,RightFoot
2023-08-26 16:30:00,40,23080,0.875999984741211,0.590999984741211,0.5510935187339783,MissedShots,Borussia M.Gladbach,h,Tomás Cvancara,Franck Honorat,LeftFoot
2023-08-26 16:30:00,49,23080,0.8690000152587891,0.26399999618530273,0.03316105902194977,MissedShots,Borussia M.Gladbach,h,Marvin Friedrich,Franck Honorat,RightFoot
2023-08-26 16:30:00,50,23080,0.7819999694824219,0.41200000762939454,0.030729740858078003,MissedShots,Borussia M.Gladbach,h,Tomás Cvancara,Franck Honorat,LeftFoot
2023-08-26 16:30:00,57,23080,0.8380000305175781,0.47900001525878905,0.08374486863613129,BlockedShot,Borussia M.Gladbach,h,Tomás Cvancara,Franck Honorat,RightFoot
2023-08-26 16:30:00,60,23080,0.7269999694824218,0.6,0.01255547534674406,MissedShots,Borussia M.Gladbach,h,Alassane Pléa,Nathan N&#039;Goumou Minpol,RightFoot
2023-08-26 16:30:00,63,23080,0.9119999694824219,0.46299999237060546,0.5765061378479004,MissedShots,Borussia M.Gladbach,h,Marvin Friedrich,,Head
2023-08-26 16:30:00,67,23080,0.9080000305175782,0.5259999847412109,0.2678612172603607,SavedShot,Borussia M.Gladbach,h,Ko Itakura,Franck Honorat,Head
2023-08-26 16:30:00,69,23080,0.8430000305175781,0.3870000076293945,0.049985121935606,MissedShots,Borussia M.Gladbach,h,Marvin Friedrich,Rocco Reitz,LeftFoot
2023-08-26 16:30:00,75,23080,0.8540000152587891,0.33299999237060546,0.0548168309032917,SavedShot,Borussia M.Gladbach,h,Franck Honorat,Tomás Cvancara,RightFoot
2023-08-26 16:30:00,85,23080,0.6940000152587891,0.6790000152587891,0.007450880948454142,MissedShots,Borussia M.Gladbach,h,Joe Scally,Alassane Pléa,RightFoot
2023-08-26 16:30:00,91,23080,0.7809999847412109,0.41,0.03116418607532978,BlockedShot,Borussia M.Gladbach,h,Grant-Leon Ranos,,LeftFoot
2023-08-26 16:30:00,8,23080,0.855999984741211,0.3770000076293945,0.07171889394521713,BlockedShot,Bayer Leverkusen,a,Victor Boniface,Florian Wirtz,RightFoot
2023-08-26 16:30:00,17,23080,0.9330000305175781,0.544000015258789,0.45224422216415405,Goal,Bayer Leverkusen,a,Victor Boniface,Álex Grimaldo,Head
2023-08-26 16:30:00,24,23080,0.9159999847412109,0.5779999923706055,0.13779281079769135,BlockedShot,Bayer Leverkusen,a,Jonas Hofmann,Florian Wirtz,LeftFoot
2023-08-26 16:30:00,28,23080,0.775,0.30100000381469727,0.015665536746382713,MissedShots,Bayer Leverkusen,a,Exequiel Palacios,,RightFoot
2023-08-26 16:30:00,29,23080,0.830999984741211,0.455,0.07704953104257584,MissedShots,Bayer Leverkusen,a,Álex Grimaldo,Jeremie Frimpong,LeftFoot
2023-08-26 16:30:00,30,23080,0.9019999694824219,0.3060000038146973,0.07204485684633255,SavedShot,Bayer Leverkusen,a,Jeremie Frimpong,Odilon Kossounou,RightFoot
2023-08-26 16:30:00,32,23080,0.8540000152587891,0.7330000305175781,0.030057178810238838,SavedShot,Bayer Leverkusen,a,Florian Wirtz,Jonas Hofmann,RightFoot
2023-08-26 16:30:00,34,23080,0.84,0.5790000152587891,0.0836053192615509,BlockedShot,Bayer Leverkusen,a,Victor Boniface,Granit Xhaka,RightFoot
2023-08-26 16:30:00,35,23080,0.7380000305175781,0.4779999923706055,0.02843014895915985,BlockedShot,Bayer Leverkusen,a,Victor Boniface,Florian Wirtz,RightFoot
2023-08-26 16:30:00,38,23080,0.8569999694824219,0.5329999923706055,0.10900065302848816,MissedShots,Bayer Leverkusen,a,Victor Boniface,Florian Wirtz,LeftFoot
2023-08-26 16:30:00,40,23080,0.8090000152587891,0.39599998474121095,0.049444787204265594,BlockedShot,Bayer Leverkusen,a,Granit Xhaka,Jonas Hofmann,LeftFoot
2023-08-26 16:30:00,42,23080,0.9019999694824219,0.47,0.4713289439678192,MissedShots,Bayer Leverkusen,a,Victor Boniface,Jeremie Frimpong,LeftFoot
2023-08-26 16:30:00,45,23080,0.8530000305175781,0.5520000076293945,0.09250643104314804,MissedShots,Bayer Leverkusen,a,Victor Boniface,Florian Wirtz,LeftFoot
2023-08-26 16:30:00,46,23080,0.9259999847412109,0.6809999847412109,0.07845526933670044,SavedShot,Bayer Leverkusen,a,Jonas Hofmann,Florian Wirtz,LeftFoot
